date	category	host	occurrences	featured
2026-06-03	unclassified	www.momsteam.com	2	0
2026-06-03	unclassified	jsbin.com	2	0
2026-06-03	unclassified	thinktv.pbslearningmedia.org	2	0
2026-06-03	unclassified	ptable.com	2	0
2026-06-03	unclassified	mitsloan.mit.edu	2	0
2026-06-03	unclassified	schools.mealviewer.com	2	0
2026-06-03	unclassified	www.lifewire.com	2	0
2026-06-03	unclassified	www.ricardocuisine.com	2	0
2026-06-03	unclassified	www.goodhousekeeping.com	2	0
2026-06-03	unclassified	bluedotliving.com	2	0
2026-06-03	unclassified	mcas.cognia.org	2	0
2026-06-04	jq_json_relay	jqp.vercel.app	2	1
2026-06-04	fetch_proxy_markdown	pure.md	5	1
2026-06-04	data_source_library	public.tableau.com	1	0
2026-06-04	data_source_other	housingdata.org	1	0
2026-06-04	url_shortener	da.gd	1	0
2026-06-04	test_placeholder	example.com	1	0
2026-06-04	obfuscated_or_malformed	bund-der-tierfreunde.de=	1	0
2026-06-05	fetch_proxy_markdown	markdown.new	1	1
2026-06-05	cors_proxy	allorigins.hexlet.app	3	1
2026-06-06	wiki_self	wikiservice.at	5	1
2026-06-06	fetch_proxy_markdown	markdown.new	11	1
2026-06-06	cors_proxy	cors.bwa.workers.dev	24	0
2026-06-06	cors_proxy	allorigins.hexlet.app	21	1
2026-06-06	data_source_health	unctadstat-api.unctad.org	3	0
2026-06-06	data_source_publishing	www.themagazinearchive.com	36	0
2026-06-06	data_source_publishing	pages.pagesuite.com	24	0
2026-06-06	data_source_publishing	editions.themagazinearchive.org	6	0
2026-06-06	data_source_publishing	editions.pagesuite.com	3	0
2026-06-07	fetch_proxy_markdown	pure.md	1	1
2026-06-07	cors_proxy	www.proxymule.com	13	0
2026-06-07	cors_proxy	allorigins.hexlet.app	5	1
2026-06-07	data_source_datausa	datausa.io	4	0
2026-06-07	data_source_datausa	api.datausa.io	4	1
2026-06-07	data_source_finance	finance.yahoo.co.jp	12	0
2026-06-07	test_placeholder	example.com	1	0
2026-06-08	jq_json_relay	jqp.vercel.app	1	1
2026-06-08	fetch_proxy_markdown	pure.md	3	1
2026-06-08	cors_proxy	www.proxymule.com	3	0
2026-06-08	data_source_datausa	api.datausa.io	23	1
2026-06-08	data_source_datausa	datausa.io	1	0
2026-06-08	url_shortener	tinyurl.com	1	0
2026-06-08	test_placeholder	www.example.com	1	0
2026-06-09	fetch_proxy_markdown	markdown.new	10	1
2026-06-09	cors_proxy	corsmirror.com	1	0
2026-06-10	wiki_self	texteditors.org	1	0
2026-06-10	fetch_proxy_markdown	markdown.new	6	1
2026-06-10	data_source_us_gov	api.usaspending.gov	19	0
2026-06-10	data_source_other	en.wikipedia.org	1	0
2026-06-10	data_source_other	github.com	1	0
2026-06-10	google_docs	drive.google.com	1	0
2026-06-10	unclassified	www.pspad.com	1	0
2026-06-10	unclassified	quercite.dx.am	1	0
2026-06-11	wiki_self	wikiservice.at	78	1
2026-06-11	wiki_self	www.wikiservice.at	8	1
2026-06-11	jq_json_relay	jqp.vercel.app	21	1
2026-06-11	fetch_proxy_markdown	markdown.new	47	1
2026-06-11	fetch_proxy_markdown	pure.md	27	1
2026-06-11	fetch_proxy_markdown	r.jina.ai	14	1
2026-06-11	fetch_proxy_markdown	api.ocr.space	7	0
